title:#黑琴##白井黑子#这两天翻了好多好多帖子知乎什么的，越看越 	 firstAuthor:牧雀 	 firstTime:2-12 	 content:#黑琴##白井黑子#这两天翻了好多好多帖子知乎什么的，越看越觉得粉非官方cp难受还是那种可能性低的cp。黑子真的是我看一眼就喜欢的女孩子，一开始是因为双马尾本来就是我的点加上新妈的特殊声线一下子就吸引到了我，后来补了漫画，ab越了解这个人物越喜欢，有正义感，有底线，日常的时候可爱，而正经起来又独当一面，有很多很多的点我无法形容。她对姐姐大人的爱不是盲从的，陪姐姐大人逛街时有风纪委员的任务她会尽快赶到去做任务… 	 number:12 	 lastAuthor:柯哀永... 	 lastTime:12:33 
title:刚入吧，马场biss 	 firstAuthor:天使的翅... 	 firstTime:2-12 	 content:刚入吧，马场biss 	 number:8 	 lastAuthor:创世之光... 	 lastTime:12:27 
title:画了只皮卡丘（划掉）画得很难看，我尽力了，第一次指绘画人。入 	 firstAuthor:小龙呐 	 firstTime:2-9 	 content:画了只皮卡丘（划掉） 画得很难看，我尽力了，第一次指绘画人。 入坑一个多月，已经被炮姐的人格魅力折服了，占一个帖子然后在这里表白美琴大人（！） 靠靠靠靠靠靠靠靠炮姐我爱你。 	 number:15 	 lastAuthor:小龙呐 	 lastTime:12:23 
title:很痛的 	 firstAuthor:鱼头死忠... 	 firstTime:2-11 	 content:很痛的 	 number:31 	 lastAuthor:xiaowei2098 	 lastTime:12:06 
title:食蜂身体体力很差以后生孩子会不会难产啊？如题，是不是得让食蜂 	 firstAuthor:华为海尔 	 firstTime:2-3 	 content:食蜂身体体力很差以后生孩子会不会难产啊？ 如题，是不是得让食蜂尽快加强体育锻练？，我现在夜不能寐。 	 number:133 	 lastAuthor:子魚b 	 lastTime:11:52 
title:这就是wiki大佬说的彩蛋吗？ 	 firstAuthor:x01x 	 firstTime:2-8 	 content:这就是wiki大佬说的彩蛋吗？ 	 number:16 	 lastAuthor:任性的柳 	 lastTime:11:50 
title:这张图是怎么回事？泪爷变hentai? 初春对黑子做了什么？ 	 firstAuthor:上琴党支部 	 firstTime:2-10 	 content:这张图是怎么回事？泪爷变hentai? 初春对黑子做了什么？（氵） 	 number:132 	 lastAuthor:嘟噜 	 lastTime:11:39 
title:地下室精神小伙被评为最受人讨厌动漫角色第一名 	 firstAuthor:电磁科学 	 firstTime:2-9 	 content:地下室精神小伙被评为最受人讨厌动漫角色第一名 	 number:103 	 lastAuthor:8000狂战放觉醒 	 lastTime:11:36 
title:不是所有人都了解食蜂的人物故事与性格，超炮动漫党更不可能了解 	 firstAuthor:sky天际 	 firstTime:2-12 	 content:不是所有人都了解食蜂的人物故事与性格，超炮动漫党更不可能了解，把她当成反派喷合情合理 你们可以喷木原狗贼，马场biss，为什么就不能喷食蜂? 食蜂在超炮动漫党眼里就是个白板人物，完全可能变成反派，反派被喷很正常! 了解剧情的人屏蔽弹幕就完事了，不要自命清高指指点点!眼不见心不烦ok？ 	 number:38 	 lastAuthor:joysid 	 lastTime:11:12 
title:新人，只看到了13集（第一季），请问一方通行和上条当妈是谁啊 	 firstAuthor:翡翠爱丽丝 	 firstTime:1-13 	 content:新人，只看到了13集（第一季），请问一方通行和上条当妈是谁啊，后面会出现吗？ 	 number:596 	 lastAuthor:小咯葛 	 lastTime:11:29 
title:琴蜂爱了 	 firstAuthor:好大仲马 	 firstTime:2-2 	 content:琴蜂爱了 	 number:175 	 lastAuthor:平凡小... 	 lastTime:11:27 
title:宅着实在无聊，重温了下妹妹篇，突然想到了个问题，黑子是不是能 	 firstAuthor:亘古刹那 	 firstTime:2-7 	 content:宅着实在无聊，重温了下妹妹篇，突然想到了个问题，黑子是不是能碾压一方通行（妹妹篇时期的）？把铁棒转移到他体内矢量操控也没办法防御啊，黑子的转移是直接生成在目标地点，挤开原处在目标位置的东西，铁棒四周都是一方通行的肉体，怎样矢量操控都没办法吧 	 number:364 	 lastAuthor:白宇03926 	 lastTime:11:26 
title:震怒的流体力学二人组对阵马匪（马场芳郎），胜算如何？ 	 firstAuthor:阿译长官1 	 firstTime:2-12 	 content:震怒的流体力学二人组对阵马匪（马场芳郎），胜算如何？ 	 number:8 	 lastAuthor:赤井秀一 	 lastTime:11:26 
title:暗部研究机构为何取dna要征询小孩同意？ 	 firstAuthor:karpassam 	 firstTime:2-12 	 content:动画党有一个问题想不明白 既然暗部随便可以把学生制造化肥 暗部研究机构为何取dna要征询小孩同意 反正人都在他手上 	 number:14 	 lastAuthor:KING_BEACH 	 lastTime:11:10 
title:当妈和炮姐有可能在一起吗他们真的甜死我了 	 firstAuthor:落樱缤纷... 	 firstTime:2-6 	 content:当妈和炮姐有可能在一起吗 他们真的甜死我了 	 number:151 	 lastAuthor:空城旧梦... 	 lastTime:11:00 
title:剧透❗(大概)我才知道这季要讲啥不要虐我炮姐啊虽然现在已经开 	 firstAuthor:粥白昼 	 firstTime:2-10 	 content:剧透❗(大概) 我才知道这季要讲啥不要虐我炮姐啊 虽然现在已经开始虐了 	 number:52 	 lastAuthor:武球王武... 	 lastTime:10:41 
